Descriptif de l'échantillon;;"Erpouvette courbe 60°"
Géométrie;;"Rectangulaire"
Épaisseur;(mm);"4.00"
Largeur;(mm);"10.00"
Longueur;(mm);"45.00"

Tableau de résultats 1
;Numéro d'éprouvette;Vitesse d'essai;Contrainte Maximum ;Allongement max;Module de Young ;Contrainte  à Rupture ;Allongement à rupture
;;(mm/min);(MPa);(%);(MPa);(MPa);(%)
"1";"PETG-30-010824-1";"50.00";"32.68";"21.38";"271.15";"5.97";"24.75"
"2";"PETG-30-010824-2";"50.00";"21.23";"12.56";"275.91";"0.03";"32.05"
"3";"PETG-30-010824-3";"50.00";"28.12";"19.75";"269.44";"0.01";"35.49"
"4";"PETG-30-010824-4";"50.00";"32.99";"22.16";"284.15";"2.91";"26.08"
"5";"PETG-30-010824-5";"50.00";"21.82";"12.31";"286.76";"0.00";"30.68"
"6";"PETG-30-010824-6";"50.00";"34.91";"21.16";"279.78";"0.01";"40.53"
"7";"PETG-30-010824-7";"50.00";"21.74";"12.56";"280.48";"0.00";"29.23"
"Moyenne";"";"50.00";"27.64";"17.41";"278.24";"1.28";"31.26"

Tableau de résultats 2


1;Temps;Déplacement;Force;Contrainte de traction;Déformation de traction (Déplacement)
;(s);(mm);(kN);(MPa);(%)
"";"6.7600";"5.6209";"0.8489";"21.2234";"12.4909"
"";"6.7800";"5.6376";"0.8492";"21.2289";"12.5280"
"";"6.8000";"5.6542";"0.8492";"21.2309";"12.5649"
"";"6.8200";"5.6707";"0.8492";"21.2297";"12.6016"
"";"6.8400";"5.6875";"0.8491";"21.2274";"12.6390"
"";"6.8600";"5.7043";"0.8490";"21.2249";"12.6762"
"";"6.8800";"5.7208";"0.8488";"21.2208";"12.7130"
"";"6.9000";"5.7375";"0.8486";"21.2140";"12.7500"
"";"6.9200";"5.7542";"0.8482";"21.2047";"12.7870"
"";"6.9400";"5.7710";"0.8478";"21.1950";"12.8243"
"";"6.9600";"5.7877";"0.8473";"21.1835";"12.8616"
"";"6.9800";"5.8043";"0.8469";"21.1717";"12.8984"
"";"7.0000";"5.8209";"0.8463";"21.1565";"12.9353"
"";"7.0200";"5.8376";"0.8456";"21.1393";"12.9723"
"";"7.0400";"5.8542";"0.8449";"21.1222";"13.0094"
"";"7.0600";"5.8709";"0.8442";"21.1039";"13.0466"
"";"7.0800";"5.8875";"0.8434";"21.0846";"13.0834"
"";"7.1000";"5.9042";"0.8425";"21.0635";"13.1204"
"";"7.1200";"5.9209";"0.8416";"21.0412";"13.1575"
"";"7.1400";"5.9375";"0.8408";"21.0192";"13.1945"
"";"7.1600";"5.9543";"0.8399";"20.9980";"13.2318"
"";"7.1800";"5.9709";"0.8390";"20.9755";"13.2686"
"";"7.2000";"5.9875";"0.8381";"20.9516";"13.3056"
"";"7.2200";"6.0042";"0.8371";"20.9276";"13.3427"
"";"7.2400";"6.0208";"0.8362";"20.9055";"13.3796"
"";"7.2600";"6.0375";"0.8354";"20.8852";"13.4168"
"";"7.2800";"6.0542";"0.8346";"20.8652";"13.4537"
"";"7.3000";"6.0707";"0.8338";"20.8444";"13.4905"
"";"7.3200";"6.0874";"0.8329";"20.8231";"13.5276"
"";"7.3400";"6.1042";"0.8321";"20.8032";"13.5648"
"";"7.3600";"6.1210";"0.8314";"20.7844";"13.6021"
"";"7.3800";"6.1376";"0.8306";"20.7650";"13.6391"
"";"7.4000";"6.1541";"0.8297";"20.7434";"13.6758"
"";"7.4200";"6.1709";"0.8288";"20.7210";"13.7130"
"";"7.4400";"6.1876";"0.8280";"20.7012";"13.7501"
"";"7.4600";"6.2043";"0.8273";"20.6835";"13.7873"
"";"7.4800";"6.2209";"0.8265";"20.6630";"13.8243"
"";"7.5000";"6.2375";"0.8257";"20.6419";"13.8610"
"";"7.5200";"6.2542";"0.8248";"20.6212";"13.8983"
"";"7.5400";"6.2711";"0.8240";"20.6002";"13.9357"
"";"7.5600";"6.2877";"0.8232";"20.5792";"13.9727"
"";"7.5800";"6.3043";"0.8222";"20.5546";"14.0095"
"";"7.6000";"6.3209";"0.8211";"20.5284";"14.0464"
"";"7.6200";"6.3376";"0.8201";"20.5026";"14.0836"
"";"7.6400";"6.3544";"0.8191";"20.4783";"14.1210"
"";"7.6600";"6.3710";"0.8181";"20.4536";"14.1577"
"";"7.6800";"6.3876";"0.8171";"20.4281";"14.1948"
"";"7.7000";"6.4043";"0.8161";"20.4025";"14.2317"
"";"7.7200";"6.4210";"0.8151";"20.3766";"14.2689"
"";"7.7400";"6.4379";"0.8140";"20.3510";"14.3064"
"";"7.7600";"6.4543";"0.8131";"20.3271";"14.3430"
"";"7.7800";"6.4709";"0.8120";"20.3003";"14.3797"
"";"7.8000";"6.4876";"0.8109";"20.2726";"14.4168"
"";"7.8200";"6.5042";"0.8099";"20.2470";"14.4538"
"";"7.8400";"6.5209";"0.8089";"20.2229";"14.4909"
"";"7.8600";"6.5375";"0.8080";"20.1989";"14.5277"
"";"7.8800";"6.5541";"0.8070";"20.1744";"14.5646"
"";"7.9000";"6.5709";"0.8060";"20.1496";"14.6019"
"";"7.9200";"6.5876";"0.8051";"20.1278";"14.6390"
"";"7.9400";"6.6043";"0.8044";"20.1088";"14.6763"
"";"7.9600";"6.6208";"0.8035";"20.0881";"14.7130"
"";"7.9800";"6.6374";"0.8026";"20.0646";"14.7498"
"";"8.0000";"6.6542";"0.8017";"20.0421";"14.7871"
"";"8.0200";"6.6709";"0.8008";"20.0210";"14.8241"
"";"8.0400";"6.6875";"0.7999";"19.9987";"14.8611"
"";"8.0600";"6.7041";"0.7990";"19.9754";"14.8981"
"";"8.0800";"6.7208";"0.7981";"19.9522";"14.9350"
"";"8.1000";"6.7375";"0.7972";"19.9294";"14.9721"
"";"8.1200";"6.7542";"0.7963";"19.9073";"15.0094"
"";"8.1400";"6.7709";"0.7955";"19.8863";"15.0464"
"";"8.1600";"6.7875";"0.7945";"19.8621";"15.0834"
"";"8.1800";"6.8041";"0.7934";"19.8352";"15.1202"
"";"8.2000";"6.8208";"0.7923";"19.8073";"15.1573"
"";"8.2200";"6.8375";"0.7912";"19.7791";"15.1945"
"";"8.2400";"6.8541";"0.7900";"19.7508";"15.2314"
"";"8.2600";"6.8709";"0.7889";"19.7227";"15.2686"
"";"8.2800";"6.8874";"0.7878";"19.6960";"15.3054"
"";"8.3000";"6.9042";"0.7869";"19.6718";"15.3426"
"";"8.3200";"6.9211";"0.7860";"19.6505";"15.3802"
"";"8.3400";"6.9377";"0.7853";"19.6313";"15.4171"
"";"8.3600";"6.9543";"0.7844";"19.6106";"15.4539"
"";"8.3800";"6.9708";"0.7836";"19.5897";"15.4907"
"";"8.4000";"6.9874";"0.7829";"19.5724";"15.5277"
"";"8.4200";"7.0042";"0.7824";"19.5600";"15.5650"
"";"8.4400";"7.0209";"0.7820";"19.5498";"15.6019"
"";"8.4600";"7.0375";"0.7816";"19.5402";"15.6388"
"";"8.4800";"7.0541";"0.7812";"19.5311";"15.6758"
"";"8.5000";"7.0708";"0.7810";"19.5243";"15.7129"
"";"8.5200";"7.0877";"0.7808";"19.5194";"15.7504"
"";"8.5400";"7.1042";"0.7807";"19.5171";"15.7872"
"";"8.5600";"7.1208";"0.7805";"19.5134";"15.8239"
"";"8.5800";"7.1375";"0.7804";"19.5098";"15.8611"
"";"8.6000";"7.1542";"0.7804";"19.5088";"15.8983"
"";"8.6200";"7.1709";"0.7804";"19.5088";"15.9354"
"";"8.6400";"7.1875";"0.7803";"19.5078";"15.9721"
"";"8.6600";"7.2040";"0.7802";"19.5060";"16.0088"
"";"8.6800";"7.2207";"0.7802";"19.5042";"16.0460"
"";"8.7000";"7.2375";"0.7800";"19.5000";"16.0834"
"";"8.7200";"7.2542";"0.7798";"19.4942";"16.1205"
"";"8.7400";"7.2708";"0.7794";"19.4861";"16.1574"
"";"8.7600";"7.2874";"0.7790";"19.4747";"16.1942"
"";"8.7800";"7.3042";"0.7785";"19.4621";"16.2315"
"";"8.8000";"7.3208";"0.7781";"19.4526";"16.2685"
"";"8.8200";"7.3374";"0.7778";"19.4452";"16.3053"
"";"8.8400";"7.3541";"0.7775";"19.4377";"16.3423"
"";"8.8600";"7.3706";"0.7773";"19.4316";"16.3792"
"";"8.8800";"7.3875";"0.7771";"19.4286";"16.4166"
"";"8.9000";"7.4043";"0.7772";"19.4290";"16.4539"
"";"8.9200";"7.4209";"0.7773";"19.4320";"16.4908"
"";"8.9400";"7.4375";"0.7774";"19.4345";"16.5278"
"";"8.9600";"7.4542";"0.7774";"19.4360";"16.5648"
"";"8.9800";"7.4708";"0.7776";"19.4398";"16.6019"
"";"9.0000";"7.4876";"0.7779";"19.4479";"16.6391"
"";"9.0200";"7.5041";"0.7783";"19.4568";"16.6759"
"";"9.0400";"7.5208";"0.7786";"19.4650";"16.7130"
"";"9.0600";"7.5375";"0.7790";"19.4757";"16.7500"
"";"9.0800";"7.5542";"0.7795";"19.4879";"16.7871"
"";"9.1000";"7.5711";"0.7801";"19.5021";"16.8246"
"";"9.1200";"7.5876";"0.7807";"19.5170";"16.8614"
"";"9.1400";"7.6042";"0.7811";"19.5283";"16.8983"
"";"9.1600";"7.6209";"0.7814";"19.5353";"16.9354"
"";"9.1800";"7.6375";"0.7816";"19.5410";"16.9723"
"";"9.2000";"7.6543";"0.7819";"19.5468";"17.0095"
"";"9.2200";"7.6709";"0.7820";"19.5504";"17.0464"
"";"9.2400";"7.6875";"0.7821";"19.5526";"17.0832"
"";"9.2600";"7.7042";"0.7822";"19.5541";"17.1204"
"";"9.2800";"7.7209";"0.7824";"19.5591";"17.1575"
"";"9.3000";"7.7377";"0.7827";"19.5663";"17.1948"
"";"9.3200";"7.7543";"0.7829";"19.5728";"17.2318"
"";"9.3400";"7.7708";"0.7831";"19.5784";"17.2684"
"";"9.3600";"7.7875";"0.7834";"19.5841";"17.3057"
"";"9.3800";"7.8042";"0.7838";"19.5940";"17.3428"
"";"9.4000";"7.8209";"0.7842";"19.6055";"17.3799"
"";"9.4200";"7.8376";"0.7847";"19.6168";"17.4169"
"";"9.4400";"7.8541";"0.7851";"19.6273";"17.4536"
"";"9.4600";"7.8709";"0.7855";"19.6365";"17.4908"
"";"9.4800";"7.8877";"0.7858";"19.6455";"17.5282"
"";"9.5000";"7.9043";"0.7862";"19.6547";"17.5652"
"";"9.5200";"7.9209";"0.7864";"19.6597";"17.6020"
"";"9.5400";"7.9375";"0.7862";"19.6544";"17.6389"
"";"9.5600";"7.9542";"0.7858";"19.6438";"17.6761"
"";"9.5800";"7.9710";"0.7853";"19.6336";"17.7133"
"";"9.6000";"7.9875";"0.7849";"19.6234";"17.7499"
"";"9.6200";"8.0041";"0.7845";"19.6129";"17.7869"
"";"9.6400";"8.0208";"0.7842";"19.6057";"17.8239"
"";"9.6600";"8.0375";"0.7840";"19.6004";"17.8612"
"";"9.6800";"8.0544";"0.7838";"19.5938";"17.8986"
"";"9.7000";"8.0709";"0.7832";"19.5800";"17.9353"
"";"9.7200";"8.0875";"0.7823";"19.5575";"17.9722"
"";"9.7400";"8.1042";"0.7813";"19.5316";"18.0093"
"";"9.7600";"8.1208";"0.7805";"19.5113";"18.0463"
"";"9.7800";"8.1375";"0.7799";"19.4978";"18.0834"
"";"9.8000";"8.1541";"0.7795";"19.4881";"18.1203"
"";"9.8200";"8.1708";"0.7791";"19.4786";"18.1573"
"";"9.8400";"8.1875";"0.7788";"19.4708";"18.1945"
"";"9.8600";"8.2042";"0.7786";"19.4647";"18.2316"
"";"9.8800";"8.2210";"0.7786";"19.4638";"18.2689"
"";"9.9000";"8.2376";"0.7786";"19.4642";"18.3057"
"";"9.9200";"8.2541";"0.7784";"19.4595";"18.3424"
"";"9.9400";"8.2709";"0.7779";"19.4485";"18.3797"
"";"9.9600";"8.2875";"0.7775";"19.4381";"18.4167"
"";"9.9800";"8.3042";"0.7773";"19.4323";"18.4538"
"";"10.0000";"8.3209";"0.7771";"19.4283";"18.4908"
"";"10.0200";"8.3374";"0.7768";"19.4201";"18.5277"
"";"10.0400";"8.3541";"0.7763";"19.4074";"18.5647"
"";"10.0600";"8.3709";"0.7758";"19.3944";"18.6020"
"";"10.0800";"8.3876";"0.7754";"19.3844";"18.6392"
"";"10.1000";"8.4043";"0.7749";"19.3724";"18.6762"
"";"10.1200";"8.4208";"0.7743";"19.3568";"18.7129"
"";"10.1400";"8.4375";"0.7736";"19.3408";"18.7500"
"";"10.1600";"8.4542";"0.7731";"19.3268";"18.7871"
"";"10.1800";"8.4708";"0.7727";"19.3166";"18.8241"
"";"10.2000";"8.4875";"0.7724";"19.3104";"18.8612"
"";"10.2200";"8.5041";"0.7722";"19.3051";"18.8980"
"";"10.2400";"8.5208";"0.7720";"19.3003";"18.9351"
"";"10.2600";"8.5377";"0.7718";"19.2951";"18.9726"
"";"10.2800";"8.5543";"0.7716";"19.2904";"19.0096"
"";"10.3000";"8.5709";"0.7714";"19.2841";"19.0464"
"";"10.3200";"8.5875";"0.7710";"19.2754";"19.0833"
"";"10.3400";"8.6042";"0.7706";"19.2658";"19.1204"
"";"10.3600";"8.6209";"0.7703";"19.2577";"19.1576"
"";"10.3800";"8.6375";"0.7699";"19.2485";"19.1944"
"";"10.4000";"8.6541";"0.7695";"19.2387";"19.2313"
"";"10.4200";"8.6707";"0.7694";"19.2344";"19.2683"
"";"10.4400";"8.6875";"0.7695";"19.2377";"19.3055"
"";"10.4600";"8.7043";"0.7699";"19.2478";"19.3429"
"";"10.4800";"8.7209";"0.7704";"19.2609";"19.3797"
"";"10.5000";"8.7374";"0.7709";"19.2725";"19.4164"
"";"10.5200";"8.7541";"0.7714";"19.2839";"19.4536"
"";"10.5400";"8.7708";"0.7720";"19.2993";"19.4907"
"";"10.5600";"8.7875";"0.7728";"19.3189";"19.5279"
"";"10.5800";"8.8041";"0.7736";"19.3408";"19.5646"
"";"10.6000";"8.8207";"0.7745";"19.3621";"19.6015"
"";"10.6200";"8.8374";"0.7752";"19.3802";"19.6388"
"";"10.6400";"8.8542";"0.7754";"19.3857";"19.6760"
"";"10.6600";"8.8709";"0.7753";"19.3825";"19.7131"
"";"10.6800";"8.8875";"0.7751";"19.3767";"19.7500"
"";"10.7000";"8.9041";"0.7750";"19.3742";"19.7868"
"";"10.7200";"8.9209";"0.7753";"19.3821";"19.8243"
"";"10.7400";"8.9376";"0.7762";"19.4045";"19.8614"
"";"10.7600";"8.9542";"0.7775";"19.4377";"19.8983"
"";"10.7800";"8.9708";"0.7790";"19.4743";"19.9352"
"";"10.8000";"8.9874";"0.7803";"19.5086";"19.9721"
"";"10.8200";"9.0042";"0.7815";"19.5378";"20.0093"
"";"10.8400";"9.0210";"0.7826";"19.5643";"20.0467"
"";"10.8600";"9.0376";"0.7837";"19.5935";"20.0836"
"";"10.8800";"9.0542";"0.7848";"19.6200";"20.1205"
"";"10.9000";"9.0709";"0.7852";"19.6304";"20.1574"
"";"10.9200";"9.0875";"0.7855";"19.6375";"20.1945"
"";"10.9400";"9.1043";"0.7860";"19.6507";"20.2317"
"";"10.9600";"9.1208";"0.7867";"19.6687";"20.2685"
"";"10.9800";"9.1375";"0.7874";"19.6843";"20.3056"
"";"11.0000";"9.1542";"0.7880";"19.7011";"20.3427"
"";"11.0200";"9.1708";"0.7887";"19.7186";"20.3797"
"";"11.0400";"9.1877";"0.7898";"19.7445";"20.4170"
"";"11.0600";"9.2042";"0.7911";"19.7764";"20.4539"
"";"11.0800";"9.2208";"0.7921";"19.8025";"20.4908"
"";"11.1000";"9.2375";"0.7927";"19.8165";"20.5278"
"";"11.1200";"9.2541";"0.7930";"19.8260";"20.5647"
"";"11.1400";"9.2709";"0.7934";"19.8339";"20.6020"
"";"11.1600";"9.2875";"0.7937";"19.8427";"20.6389"
"";"11.1800";"9.3041";"0.7937";"19.8415";"20.6758"
"";"11.2000";"9.3208";"0.7933";"19.8323";"20.7128"
"";"11.2200";"9.3375";"0.7932";"19.8310";"20.7499"
"";"11.2400";"9.3543";"0.7939";"19.8480";"20.7874"
"";"11.2600";"9.3709";"0.7953";"19.8818";"20.8242"
"";"11.2800";"9.3874";"0.7970";"19.9262";"20.8609"
"";"11.3000";"9.4041";"0.7990";"19.9762";"20.8981"
"";"11.3200";"9.4208";"0.8012";"20.0307";"20.9352"
"";"11.3400";"9.4375";"0.8036";"20.0892";"20.9723"
"";"11.3600";"9.4542";"0.8060";"20.1505";"21.0093"
"";"11.3800";"9.4707";"0.8084";"20.2109";"21.0461"
"";"11.4000";"9.4875";"0.8105";"20.2634";"21.0833"
"";"11.4200";"9.5043";"0.8122";"20.3061";"21.1206"
"";"11.4400";"9.5209";"0.8134";"20.3359";"21.1577"
"";"11.4600";"9.5375";"0.8141";"20.3522";"21.1945"
"";"11.4800";"9.5540";"0.8144";"20.3602";"21.2312"
"";"11.5000";"9.5708";"0.8147";"20.3667";"21.2685"
"";"11.5200";"9.5876";"0.8151";"20.3777";"21.3058"
"";"11.5400";"9.6042";"0.8155";"20.3865";"21.3426"
"";"11.5600";"9.6208";"0.8148";"20.3703";"21.3797"
"";"11.5800";"9.6375";"0.8133";"20.3334";"21.4166"
"";"11.6000";"9.6543";"0.8116";"20.2893";"21.4539"
"";"11.6200";"9.6712";"0.8099";"20.2482";"21.4914"
"";"11.6400";"9.6877";"0.8083";"20.2072";"21.5282"
"";"11.6600";"9.7042";"0.8063";"20.1576";"21.5650"
"";"11.6800";"9.7209";"0.8039";"20.0972";"21.6021"
"";"11.7000";"9.7377";"0.8013";"20.0316";"21.6392"
"";"11.7200";"9.7544";"0.7985";"19.9624";"21.6765"
"";"11.7400";"9.7709";"0.7952";"19.8805";"21.7130"
"";"11.7600";"9.7875";"0.7914";"19.7848";"21.7500"
"";"11.7800";"9.8042";"0.7872";"19.6806";"21.7872"
"";"11.8000";"9.8210";"0.7828";"19.5699";"21.8244"
"";"11.8200";"9.8378";"0.7781";"19.4534";"21.8617"
"";"11.8400";"9.8543";"0.7730";"19.3260";"21.8985"
"";"11.8600";"9.8709";"0.7673";"19.1830";"21.9354"
"";"11.8800";"9.8877";"0.7610";"19.0247";"21.9726"
"";"11.9000";"9.9042";"0.7541";"18.8522";"22.0094"
"";"11.9200";"9.9209";"0.7466";"18.6655";"22.0465"
"";"11.9400";"9.9375";"0.7388";"18.4692";"22.0834"
"";"11.9600";"9.9542";"0.7305";"18.2614";"22.1203"
"";"11.9800";"9.9709";"0.7216";"18.0396";"22.1576"
"";"12.0000";"9.9876";"0.7122";"17.8047";"22.1947"
"";"12.0200";"10.0043";"0.7025";"17.5626";"22.2317"
"";"12.0400";"10.0209";"0.6926";"17.3161";"22.2686"
"";"12.0600";"10.0374";"0.6827";"17.0670";"22.3054"
"";"12.0800";"10.0542";"0.6728";"16.8193";"22.3427"
"";"12.1000";"10.0709";"0.6630";"16.5744";"22.3798"
"";"12.1200";"10.0876";"0.6531";"16.3268";"22.4168"
"";"12.1400";"10.1043";"0.6431";"16.0779";"22.4540"
"";"12.1600";"10.1208";"0.6333";"15.8337";"22.4907"
"";"12.1800";"10.1375";"0.6239";"15.5985";"22.5279"
"";"12.2000";"10.1544";"0.6148";"15.3708";"22.5654"
"";"12.2200";"10.1710";"0.6059";"15.1463";"22.6023"
"";"12.2400";"10.1877";"0.5967";"14.9175";"22.6393"
"";"12.2600";"10.2043";"0.5874";"14.6847";"22.6762"
"";"12.2800";"10.2210";"0.5782";"14.4551";"22.7133"
"";"12.3000";"10.2378";"0.5693";"14.2327";"22.7506"
"";"12.3200";"10.2544";"0.5607";"14.0180";"22.7875"
"";"12.3400";"10.2710";"0.5524";"13.8097";"22.8244"
"";"12.3600";"10.2876";"0.5443";"13.6064";"22.8614"
"";"12.3800";"10.3044";"0.5360";"13.4006";"22.8986"
"";"12.4000";"10.3213";"0.5273";"13.1813";"22.9362"
"";"12.4200";"10.3378";"0.5173";"12.9331";"22.9728"
"";"12.4400";"10.3543";"0.5051";"12.6284";"23.0095"
"";"12.4600";"10.3710";"0.4917";"12.2936";"23.0467"
"";"12.4800";"10.3877";"0.4784";"11.9606";"23.0837"
"";"12.5000";"10.4044";"0.4659";"11.6484";"23.1209"
"";"12.5200";"10.4210";"0.4542";"11.3558";"23.1577"
"";"12.5400";"10.4375";"0.4434";"11.0839";"23.1944"
"";"12.5600";"10.4543";"0.4335";"10.8371";"23.2317"
"";"12.5800";"10.4710";"0.4249";"10.6227";"23.2689"
"";"12.6000";"10.4878";"0.4175";"10.4374";"23.3062"
"";"12.6200";"10.5043";"0.4109";"10.2737";"23.3428"
"";"12.6400";"10.5208";"0.4052";"10.1294";"23.3795"
"";"12.6600";"10.5376";"0.4001";"10.0016";"23.4168"
"";"12.6800";"10.5542";"0.3955";"9.8875";"23.4539"
"";"12.7000";"10.5709";"0.3913";"9.7824";"23.4908"
"";"12.7200";"10.5875";"0.3872";"9.6795";"23.5277"
"";"12.7400";"10.6041";"0.3831";"9.5782";"23.5646"
"";"12.7600";"10.6208";"0.3790";"9.4744";"23.6019"
"";"12.7800";"10.6376";"0.3747";"9.3682";"23.6392"
"";"12.8000";"10.6543";"0.3706";"9.2638";"23.6762"
"";"12.8200";"10.6709";"0.3664";"9.1590";"23.7130"
"";"12.8400";"10.6875";"0.3620";"9.0501";"23.7500"
"";"12.8600";"10.7042";"0.3577";"8.9437";"23.7871"
"";"12.8800";"10.7210";"0.3536";"8.8400";"23.8244"
"";"12.9000";"10.7376";"0.3495";"8.7366";"23.8612"
"";"12.9200";"10.7543";"0.3453";"8.6318";"23.8984"
"";"12.9400";"10.7709";"0.3411";"8.5271";"23.9353"
"";"12.9600";"10.7875";"0.3370";"8.4253";"23.9723"
"";"12.9800";"10.8045";"0.3331";"8.3282";"24.0099"
"";"13.0000";"10.8211";"0.3294";"8.2341";"24.0468"
"";"13.0200";"10.8377";"0.3255";"8.1371";"24.0837"
"";"13.0400";"10.8543";"0.3207";"8.0184";"24.1206"
"";"13.0600";"10.8709";"0.3153";"7.8833";"24.1576"
"";"13.0800";"10.8877";"0.3098";"7.7460";"24.1950"
"";"13.1000";"10.9044";"0.3043";"7.6077";"24.2319"
"";"13.1200";"10.9210";"0.2986";"7.4660";"24.2688"
"";"13.1400";"10.9376";"0.2928";"7.3212";"24.3058"
"";"13.1600";"10.9544";"0.2873";"7.1815";"24.3430"
"";"13.1800";"10.9712";"0.2820";"7.0495";"24.3805"
"";"13.2000";"10.9878";"0.2768";"6.9205";"24.4174"
"";"13.2200";"11.0043";"0.2717";"6.7916";"24.4539"
"";"13.2400";"11.0210";"0.2661";"6.6528";"24.4911"
"";"13.2600";"11.0376";"0.2604";"6.5100";"24.5280"
"";"13.2800";"11.0543";"0.2549";"6.3717";"24.5652"
"";"13.3000";"11.0709";"0.2496";"6.2406";"24.6020"
"";"13.3200";"11.0875";"0.2446";"6.1161";"24.6388"
"";"13.3400";"11.1042";"0.2397";"5.9930";"24.6761"
"";"13.3600";"11.1210";"0.2346";"5.8653";"24.7134"
"";"13.3800";"11.1377";"0.2294";"5.7338";"24.7505"
"";"13.4000";"11.1543";"0.2238";"5.5949";"24.7873"
"";"13.4200";"11.1708";"0.2180";"5.4508";"24.8240"
"";"13.4400";"11.1876";"0.2123";"5.3063";"24.8613"
"";"13.4600";"11.2043";"0.2066";"5.1648";"24.8985"
"";"13.4800";"11.2209";"0.2012";"5.0288";"24.9354"
"";"13.5000";"11.2375";"0.1956";"4.8900";"24.9723"
"";"13.5200";"11.2541";"0.1900";"4.7493";"25.0092"
"";"13.5400";"11.2709";"0.1840";"4.6012";"25.0464"
"";"13.5600";"11.2877";"0.1783";"4.4584";"25.0839"
"";"13.5800";"11.3043";"0.1733";"4.3329";"25.1206"
"";"13.6000";"11.3209";"0.1687";"4.2171";"25.1576"
"";"13.6200";"11.3375";"0.1645";"4.1119";"25.1945"
"";"13.6400";"11.3543";"0.1606";"4.0151";"25.2318"
"";"13.6600";"11.3710";"0.1565";"3.9123";"25.2689"
"";"13.6800";"11.3875";"0.1518";"3.7962";"25.3056"
"";"13.7000";"11.4042";"0.1473";"3.6820";"25.3426"
"";"13.7200";"11.4209";"0.1427";"3.5666";"25.3798"
"";"13.7400";"11.4376";"0.1381";"3.4516";"25.4168"
"";"13.7600";"11.4544";"0.1342";"3.3562";"25.4543"
"";"13.7800";"11.4710";"0.1309";"3.2733";"25.4912"
"";"13.8000";"11.4876";"0.1272";"3.1799";"25.5280"
"";"13.8200";"11.5043";"0.1234";"3.0858";"25.5651"
"";"13.8400";"11.5209";"0.1199";"2.9981";"25.6019"
"";"13.8600";"11.5376";"0.1167";"2.9179";"25.6392"
"";"13.8800";"11.5543";"0.1135";"2.8366";"25.6762"
"";"13.9000";"11.5709";"0.1101";"2.7513";"25.7130"
"";"13.9200";"11.5875";"0.1069";"2.6718";"25.7501"
"";"13.9400";"11.6043";"0.1042";"2.6040";"25.7872"
"";"13.9600";"11.6211";"0.1019";"2.5466";"25.8246"
"";"13.9800";"11.6377";"0.0997";"2.4928";"25.8616"
"";"14.0000";"11.6542";"0.0977";"2.4417";"25.8982"
"";"14.0200";"11.6709";"0.0956";"2.3900";"25.9353"
"";"14.0400";"11.6876";"0.0936";"2.3412";"25.9724"
"";"14.0600";"11.7043";"0.0918";"2.2940";"26.0095"
"";"14.0800";"11.7209";"0.0896";"2.2412";"26.0465"
"";"14.1000";"11.7374";"0.0870";"2.1745";"26.0832"
"";"14.1200";"11.7542";"0.0844";"2.1109";"26.1205"
"";"14.1400";"11.7710";"0.0824";"2.0594";"26.1578"
"";"14.1600";"11.7877";"0.0807";"2.0175";"26.1949"
"";"14.1800";"11.8043";"0.0791";"1.9778";"26.2317"
"";"14.2000";"11.8207";"0.0776";"1.9405";"26.2683"
"";"14.2200";"11.8375";"0.0764";"1.9108";"26.3056"
"";"14.2400";"11.8543";"0.0755";"1.8869";"26.3430"
"";"14.2600";"11.8709";"0.0747";"1.8663";"26.3798"
"";"14.2800";"11.8875";"0.0738";"1.8454";"26.4166"
"";"14.3000";"11.9041";"0.0729";"1.8234";"26.4535"
"";"14.3200";"11.9208";"0.0721";"1.8024";"26.4907"
"";"14.3400";"11.9378";"0.0713";"1.7833";"26.5283"
"";"14.3600";"11.9543";"0.0706";"1.7656";"26.5651"
"";"14.3800";"11.9708";"0.0699";"1.7481";"26.6018"
"";"14.4000";"11.9875";"0.0692";"1.7289";"26.6390"
"";"14.4200";"12.0042";"0.0684";"1.7101";"26.6760"
"";"14.4400";"12.0210";"0.0677";"1.6918";"26.7133"
"";"14.4600";"12.0375";"0.0668";"1.6707";"26.7500"
"";"14.4800";"12.0541";"0.0659";"1.6474";"26.7869"
"";"14.5000";"12.0709";"0.0649";"1.6218";"26.8242"
"";"14.5200";"12.0876";"0.0638";"1.5942";"26.8614"
"";"14.5400";"12.1044";"0.0624";"1.5601";"26.8987"
"";"14.5600";"12.1210";"0.0610";"1.5258";"26.9355"
"";"14.5800";"12.1375";"0.0598";"1.4941";"26.9722"
"";"14.6000";"12.1543";"0.0586";"1.4656";"27.0096"
"";"14.6200";"12.1709";"0.0575";"1.4384";"27.0465"
"";"14.6400";"12.1876";"0.0565";"1.4132";"27.0835"
"";"14.6600";"12.2042";"0.0555";"1.3887";"27.1204"
"";"14.6800";"12.2208";"0.0547";"1.3664";"27.1572"
"";"14.7000";"12.2375";"0.0538";"1.3459";"27.1945"
"";"14.7200";"12.2543";"0.0531";"1.3265";"27.2317"
"";"14.7400";"12.2710";"0.0523";"1.3074";"27.2688"
"";"14.7600";"12.2876";"0.0515";"1.2881";"27.3058"
"";"14.7800";"12.3042";"0.0506";"1.2659";"27.3426"
"";"14.8000";"12.3209";"0.0497";"1.2413";"27.3797"
"";"14.8200";"12.3375";"0.0485";"1.2133";"27.4168"
